"","Raf","Mek","Plcg","PIP2","PIP3","Erk","Akt","PKA","PKC","P38","Jnk"
"28","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"29","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"30","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"31","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"32","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"33","(74.3,552]","(24.8,389]","[1,10.8]","(178,843]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"34","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"35","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"36","(39.52,74.3]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"37","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"38","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","(25,44.34]","(35.9,343]"
"39","(39.52,74.3]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(547,4491]","(16.58,106]","(44.34,170]","(35.9,343]"
"40","(39.52,74.3]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"41","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"42","(74.3,552]","(24.8,389]","[1,10.8]","(178,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"43","[1.61,39.52]","(15.1,24.8]","[1,10.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","[1,8.06]","(25,44.34]","(35.9,343]"
"44","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"45","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"46","(39.52,74.3]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"47","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(16.58,106]","(44.34,170]","(35.9,343]"
"48","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"49","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"50","(74.3,552]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","[1,9.82]"
"51","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"52","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","(25,44.34]","(35.9,343]"
"53","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"54","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"55","(74.3,552]","(24.8,389]","[1,10.8]","(178,843]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"56","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"57","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"58","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"59","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"60","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"61","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","[1,9.82]"
"62","[1.61,39.52]","[1,15.1]","[1,10.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"63","[1.61,39.52]","[1,15.1]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(44.34,170]","[1,9.82]"
"64","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"65","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"66","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(23.5,39.6]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"67","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"68","[1.61,39.52]","[1,15.1]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","[1,9.82]"
"69","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"70","[1.61,39.52]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"71","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(35.9,343]"
"72","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"73","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"74","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"75","(39.52,74.3]","(24.8,389]","(24.8,167]","(178,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"76","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","(44.34,170]","[1,9.82]"
"77","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"78","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","[1,9.82]"
"79","[1.61,39.52]","[1,15.1]","[1,10.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"80","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"81","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"82","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"83","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"84","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","(44.34,170]","[1,9.82]"
"85","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"86","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","[1,9.82]"
"87","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"88","[1.61,39.52]","[1,15.1]","[1,10.8]","(178,843]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"89","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"90","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(25,44.34]","(9.82,35.9]"
"91","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","[1,9.82]"
"92","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(45.3,764]","(15.32,25.3]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(44.34,170]","(35.9,343]"
"93","[1.61,39.52]","(15.1,24.8]","[1,10.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"94","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"95","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(178,843]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"96","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","(39.6,3555]","(547,4491]","(16.58,106]","[1.53,25]","[1,9.82]"
"97","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"98","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"99","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"100","(74.3,552]","(24.8,389]","(24.8,167]","(178,843]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"101","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"102","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"103","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"104","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","[1,9.82]"
"105","(39.52,74.3]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"106","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"107","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"108","[1.61,39.52]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"109","(39.52,74.3]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"110","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"111","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"112","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","[1,9.82]"
"113","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","[1.53,25]","(35.9,343]"
"114","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"115","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"116","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"117","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"118","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"119","(39.52,74.3]","(24.8,389]","[1,10.8]","[1.11,23.3]","(45.3,764]","(15.32,25.3]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"120","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"121","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"122","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"123","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"124","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","[1,9.82]"
"125","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"126","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"127","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"128","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"129","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"130","[1.61,39.52]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(35.9,343]"
"131","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"132","(39.52,74.3]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"133","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"134","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"135","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"136","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","[1.53,25]","(35.9,343]"
"137","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"138","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","[1,9.82]"
