"","Raf","Mek","Plcg","PIP2","PIP3","Erk","Akt","PKA","PKC","P38","Jnk","INT"
"3141","3","1","1","1","2","1","1","2","1","1","1","2"
"3142","3","1","2","1","2","2","2","2","1","1","1","2"
"3143","3","1","1","1","3","2","2","2","1","2","2","2"
"3144","3","1","1","1","2","1","1","1","1","1","1","2"
"3145","3","1","1","1","2","2","2","2","1","2","1","2"
"3146","2","1","1","1","3","2","2","2","1","1","2","2"
"3147","1","1","1","1","2","1","2","2","1","1","1","2"
"3148","3","1","1","1","3","1","1","1","2","2","2","2"
"3149","2","1","1","1","1","1","2","1","1","1","1","2"
"3150","3","1","1","1","1","2","2","1","1","1","1","2"
"3151","3","1","1","1","2","1","2","1","2","2","2","2"
"3152","3","1","1","1","2","1","2","1","1","1","1","2"
"3153","2","1","1","1","2","1","1","1","1","1","1","2"
"3154","3","1","1","1","1","1","1","1","1","1","1","2"
"3155","3","1","1","1","1","2","2","2","1","1","1","2"
"3156","2","1","1","1","2","2","2","2","2","2","2","2"
"3157","2","1","1","1","1","1","2","2","1","1","2","2"
"3158","3","1","1","1","2","2","2","2","2","2","1","2"
"3159","3","1","1","1","2","2","2","2","1","2","1","2"
"3160","3","1","2","1","2","1","2","2","1","1","1","2"
"3161","3","1","1","1","3","1","1","1","1","1","1","2"
"3162","3","1","1","1","2","1","2","2","2","1","1","2"
"3163","3","1","1","1","3","1","2","2","1","1","1","2"
"3164","2","1","1","1","2","1","1","1","1","1","1","2"
"3165","3","1","1","1","1","1","2","2","2","1","1","2"
"3166","3","1","1","1","2","1","2","2","1","1","1","2"
"3167","1","1","1","1","2","1","1","1","1","1","1","2"
"3168","3","1","1","1","3","2","2","2","2","2","2","2"
"3169","3","1","1","1","2","1","1","1","1","1","1","2"
"3170","2","1","1","1","3","1","2","1","1","1","1","2"
"3171","3","1","1","1","2","1","1","1","1","1","1","2"
"3172","1","1","1","1","2","1","2","2","2","2","1","2"
"3173","2","1","1","1","2","2","2","2","1","1","1","2"
"3174","3","1","1","1","3","2","2","2","1","1","1","2"
"3175","3","1","1","1","3","2","2","2","1","1","1","2"
"3176","2","1","1","1","3","1","1","1","1","1","1","2"
"3177","3","1","1","1","2","2","2","2","1","1","1","2"
"3178","1","1","1","1","2","1","1","1","1","1","1","2"
"3179","3","1","1","2","3","1","2","2","2","1","1","2"
"3180","3","1","1","1","2","1","1","1","1","1","1","2"
"3181","3","1","1","1","3","1","1","1","2","1","1","2"
"3182","3","1","1","1","3","2","3","2","1","1","1","2"
"3183","3","1","2","1","2","1","1","1","1","1","1","2"
"3184","3","1","1","1","2","1","1","1","2","1","1","2"
"3185","2","1","1","1","3","1","1","1","1","2","1","2"
"3186","2","1","1","1","3","1","2","2","1","1","1","2"
"3187","3","1","1","1","2","1","2","1","2","2","1","2"
"3188","3","1","1","1","3","2","2","2","1","2","1","2"
"3189","3","1","1","1","1","1","1","1","1","2","1","2"
"3190","3","1","1","1","2","1","1","1","1","1","1","2"
"3191","2","1","1","1","1","1","2","2","1","1","1","2"
"3192","2","1","1","2","3","2","2","2","2","1","1","2"
"3193","3","1","1","1","2","2","2","2","1","1","1","2"
"3194","3","1","1","2","2","2","2","2","1","1","1","2"
"3195","3","1","1","1","3","2","1","1","1","1","1","2"
"3196","3","1","1","1","2","1","2","2","1","1","1","2"
"3197","1","1","1","1","3","1","2","1","1","1","1","2"
"3198","2","1","1","1","2","1","1","1","1","1","1","2"
"3199","3","1","2","1","2","2","2","2","1","1","1","2"
"3200","3","1","1","1","2","1","2","1","1","2","2","2"
"3201","3","1","1","1","2","1","2","2","1","1","1","2"
"3202","3","1","1","1","2","1","1","1","1","1","1","2"
"3203","3","1","1","1","3","1","1","1","1","1","2","2"
"3204","2","1","1","1","1","1","2","1","1","2","1","2"
"3205","3","1","1","1","3","1","2","2","1","1","1","2"
"3206","3","1","1","1","3","2","2","2","1","1","1","2"
"3207","3","1","1","1","1","2","2","2","1","1","1","2"
"3208","3","1","1","1","2","1","1","2","1","1","1","2"
"3209","3","1","1","1","1","1","1","1","1","1","1","2"
"3210","2","1","1","1","3","1","2","2","2","1","1","2"
"3211","2","1","1","1","2","1","2","1","1","1","1","2"
"3212","1","1","1","1","3","1","2","2","1","1","1","2"
"3213","3","1","1","1","3","2","2","2","2","1","1","2"
"3214","3","1","1","1","3","1","1","1","1","1","1","2"
"3215","3","1","1","1","2","1","2","2","1","1","1","2"
"3216","2","1","1","1","3","1","1","1","1","1","1","2"
"3217","3","1","1","1","3","2","2","2","2","2","2","2"
"3218","2","1","1","1","2","1","1","1","1","1","1","2"
"3219","3","1","1","1","2","1","1","1","1","1","1","2"
"3220","3","1","1","1","1","1","1","1","1","1","1","2"
"3221","3","1","1","1","3","1","1","1","1","1","1","2"
"3222","3","1","1","1","3","2","2","2","1","1","1","2"
"3223","3","1","1","1","3","1","2","2","1","1","1","2"
"3224","3","1","1","1","2","1","2","2","1","1","1","2"
"3225","3","1","1","1","2","2","1","2","1","1","1","2"
"3226","3","1","1","1","2","1","2","2","1","1","1","2"
"3227","3","1","1","1","1","1","2","1","1","2","2","2"
"3228","3","1","1","1","2","1","1","1","2","1","1","2"
"3229","2","1","1","1","3","1","2","1","1","1","1","2"
"3230","3","1","1","1","3","1","2","1","1","1","1","2"
"3231","3","1","1","1","1","2","2","2","2","2","1","2"
"3232","1","1","1","1","2","1","2","2","1","1","1","2"
"3233","3","1","1","1","2","2","2","2","1","1","1","2"
"3234","3","1","1","1","2","1","1","2","2","1","1","2"
"3235","2","1","1","1","3","1","2","1","1","1","1","2"
"3236","3","1","1","1","3","1","2","1","2","2","2","2"
"3237","3","1","1","1","2","2","1","2","1","1","1","2"
"3238","3","1","1","1","1","1","2","2","1","1","2","2"
"3239","3","1","1","1","1","1","2","2","1","1","1","2"
"3240","3","1","1","1","2","1","2","1","1","1","2","2"
"3241","3","1","1","1","1","1","2","1","1","1","1","2"
"3242","3","1","1","1","2","1","1","1","2","2","2","2"
"3243","1","1","1","1","3","1","2","1","1","1","1","2"
"3244","3","1","1","1","2","1","2","2","1","1","1","2"
"3245","3","1","1","1","3","1","2","1","1","1","1","2"
"3246","3","1","1","1","2","1","1","1","1","1","1","2"
"3247","3","1","1","1","2","1","2","1","1","1","1","2"
"3248","1","1","1","1","1","2","2","2","1","1","1","2"
"3249","3","1","1","1","2","1","2","1","1","1","2","2"
"3250","2","1","1","1","3","1","2","2","1","1","2","2"
"3251","3","1","1","1","3","1","2","1","1","1","1","2"
"3252","2","1","1","1","3","1","1","2","1","2","1","2"
"3253","3","1","1","1","2","1","1","1","1","1","1","2"
"3254","3","1","1","1","2","2","2","2","1","1","1","2"
"3255","2","1","1","1","2","1","1","1","1","1","1","2"
"3256","3","1","1","1","1","1","2","1","2","2","1","2"
"3257","3","1","1","1","1","1","2","2","1","1","2","2"
"3258","3","1","1","1","2","2","2","2","1","1","1","2"
"3259","3","1","2","1","2","1","1","1","1","1","1","2"
"3260","3","1","1","1","2","2","2","2","1","1","1","2"
"3261","2","1","2","1","3","1","1","1","1","1","1","2"
"3262","3","1","1","1","3","1","2","2","1","1","1","2"
"3263","3","1","1","1","3","1","2","1","1","1","1","2"
"3264","3","1","1","1","2","2","2","2","2","1","1","2"
"3265","3","1","1","1","1","2","2","2","1","2","1","2"
"3266","3","1","1","1","3","1","2","1","1","1","1","2"
"3267","3","1","1","1","2","1","1","1","1","1","1","2"
"3268","2","1","2","1","3","2","2","2","1","1","1","2"
"3269","3","1","1","1","1","1","2","1","1","1","1","2"
"3270","2","1","1","1","2","2","2","2","1","1","1","2"
"3271","3","1","1","1","1","2","2","2","1","1","1","2"
"3272","3","1","1","1","2","1","2","2","2","1","2","2"
"3273","3","1","1","1","1","2","2","2","1","1","1","2"
"3274","3","1","1","1","2","1","1","1","1","1","1","2"
"3275","3","1","1","1","2","2","2","2","2","1","1","2"
"3276","2","1","1","1","2","1","1","1","1","1","1","2"
"3277","3","1","1","1","3","2","2","1","1","2","1","2"
"3278","1","1","1","1","2","1","1","1","1","1","1","2"
"3279","3","1","1","1","3","2","2","2","1","1","1","2"
"3280","3","1","2","1","3","2","2","2","1","1","1","2"
"3281","2","1","1","1","2","1","2","1","1","2","1","2"
"3282","3","1","1","1","1","1","1","1","1","1","1","2"
"3283","3","1","1","1","3","1","1","2","1","1","1","2"
"3284","3","1","1","1","3","2","2","2","1","1","1","2"
"3285","3","1","1","1","2","1","2","1","1","1","1","2"
"3286","2","1","1","1","1","1","2","1","1","1","1","2"
"3287","3","1","1","1","3","1","2","1","1","1","1","2"
"3288","3","1","1","1","1","1","1","1","1","1","1","2"
"3289","3","1","1","1","1","1","2","1","1","1","1","2"
"3290","3","1","1","1","2","1","2","2","1","1","1","2"
"3291","2","1","1","1","3","1","2","1","1","1","1","2"
"3292","3","1","1","1","2","1","2","1","1","1","1","2"
"3293","3","1","1","1","1","1","1","1","1","1","1","2"
"3294","2","1","1","1","1","1","1","1","1","1","1","2"
"3295","3","1","2","1","3","1","2","1","1","1","1","2"
"3296","1","1","1","2","3","2","2","2","1","1","1","2"
"3297","3","1","1","1","2","1","2","2","1","1","1","2"
"3298","3","1","1","1","2","1","2","2","1","1","1","2"
"3299","3","1","1","1","2","1","1","1","1","1","1","2"
"3300","3","1","2","2","3","1","1","1","1","1","1","2"
"3301","3","1","1","1","2","2","2","2","1","1","1","2"
"3302","3","1","1","1","3","1","2","1","1","1","1","2"
"3303","2","1","1","1","2","1","2","2","1","1","1","2"
"3304","3","1","1","1","3","1","2","2","1","1","1","2"
"3305","3","1","1","2","3","2","2","2","1","1","1","2"
"3306","3","1","1","1","1","1","1","1","1","1","1","2"
"3307","3","1","1","1","3","2","2","2","1","1","1","2"
"3308","3","1","1","1","2","2","2","2","2","1","2","2"
"3309","2","1","1","1","2","2","2","2","1","1","1","2"
"3310","3","1","1","1","1","1","1","1","1","1","1","2"
"3311","3","1","2","1","3","1","1","1","1","1","1","2"
"3312","3","1","1","1","1","2","2","2","1","2","1","2"
"3313","1","1","1","1","3","1","2","1","1","1","1","2"
"3314","1","1","1","1","3","1","2","2","2","2","2","2"
"3315","1","1","1","1","3","2","2","2","1","1","1","2"
"3316","2","1","1","1","2","1","2","2","1","1","1","2"
"3317","3","1","1","1","2","1","2","1","1","2","1","2"
"3318","3","1","1","1","2","2","2","2","1","1","1","2"
"3319","3","1","1","1","3","1","1","1","1","1","1","2"
"3320","3","1","1","1","3","1","2","2","1","1","1","2"
"3321","2","1","2","2","3","1","2","2","1","1","2","2"
"3322","3","1","1","1","2","1","1","2","1","1","1","2"
"3323","3","1","1","1","1","1","1","1","1","1","1","2"
"3324","1","1","1","1","3","1","2","2","2","2","2","2"
"3325","3","1","1","1","2","2","2","2","1","1","1","2"
"3326","2","1","1","1","2","1","2","1","1","1","1","2"
"3327","3","1","2","1","3","1","2","2","1","1","1","2"
"3328","2","1","1","1","3","2","1","2","1","2","2","2"
"3329","3","1","1","1","2","1","1","1","2","1","1","2"
"3330","3","1","1","1","1","2","2","2","1","1","1","2"
"3331","1","1","1","1","3","2","2","2","2","1","1","2"
"3332","3","1","2","1","1","1","2","1","1","1","1","2"
"3333","1","1","1","1","3","1","2","2","2","1","1","2"
"3334","2","1","1","1","3","1","1","1","1","1","1","2"
"3335","3","1","1","1","3","1","2","1","1","1","1","2"
"3336","3","1","1","1","3","2","2","3","1","1","1","2"
"3337","3","1","1","1","2","2","2","2","1","1","1","2"
"3338","2","1","1","1","2","1","2","2","1","1","1","2"
"3339","1","1","1","2","3","2","2","2","1","2","1","2"
"3340","3","1","1","2","3","1","1","1","2","2","2","2"
"3341","2","1","1","1","2","1","1","1","1","2","1","2"
"3342","3","1","1","1","2","1","2","2","1","2","1","2"
"3343","3","1","1","1","3","2","1","1","1","1","1","2"
"3344","3","1","1","1","3","2","2","2","1","1","1","2"
"3345","3","1","1","1","2","1","2","2","1","1","1","2"
"3346","3","1","1","1","2","1","2","1","2","1","2","2"
"3347","3","1","1","1","3","1","2","2","1","1","1","2"
"3348","3","1","1","1","3","2","2","2","1","1","1","2"
"3349","3","1","1","1","2","1","1","1","1","1","1","2"
"3350","3","1","1","1","1","1","2","1","1","2","1","2"
"3351","1","1","1","1","1","1","1","1","1","1","1","2"
"3352","3","1","1","1","3","1","1","1","1","1","1","2"
"3353","3","1","1","1","3","1","2","2","1","1","1","2"
"3354","3","1","1","2","3","1","1","1","1","1","1","2"
"3355","3","1","1","1","3","1","2","1","1","2","2","2"
"3356","3","1","1","1","1","2","2","2","1","1","1","2"
"3357","3","1","1","1","3","2","2","2","2","1","2","2"
"3358","2","1","1","1","3","1","1","1","1","1","1","2"
"3359","3","1","1","1","3","2","2","2","1","1","1","2"
"3360","3","1","1","1","2","1","1","1","1","1","1","2"
"3361","3","1","2","1","3","2","2","2","1","1","1","2"
"3362","3","1","1","1","3","1","2","1","1","1","1","2"
"3363","2","1","1","1","3","2","2","2","1","1","1","2"
"3364","3","1","2","1","2","1","1","1","2","1","2","2"
"3365","3","1","1","1","3","1","2","2","1","1","2","2"
"3366","3","1","1","1","2","2","2","1","1","1","2","2"
"3367","3","1","1","1","2","1","1","1","1","1","1","2"
"3368","2","1","1","1","2","2","2","2","1","1","1","2"
"3369","3","1","1","1","2","1","1","1","2","2","2","2"
"3370","3","1","1","1","3","1","2","1","1","1","1","2"
"3371","3","1","2","1","2","1","2","2","2","1","1","2"
"3372","1","1","1","1","1","2","2","2","1","1","1","2"
"3373","3","1","1","1","2","2","2","2","1","1","1","2"
"3374","2","1","1","1","1","1","1","1","1","1","1","2"
"3375","3","1","1","1","3","1","2","2","1","1","1","2"
"3376","2","1","1","1","2","2","2","2","1","1","1","2"
"3377","3","1","1","1","2","1","2","2","1","1","1","2"
"3378","3","1","1","1","1","1","1","1","1","1","1","2"
"3379","2","1","1","1","2","1","1","1","1","1","1","2"
"3380","2","1","1","2","3","1","2","1","1","1","1","2"
"3381","3","1","1","1","2","1","2","1","1","1","1","2"
"3382","1","1","1","1","2","1","2","1","1","1","1","2"
"3383","3","1","1","1","2","1","2","1","1","2","1","2"
"3384","3","1","1","1","3","1","1","1","1","1","1","2"
"3385","3","1","2","1","2","1","2","2","1","1","1","2"
"3386","3","1","1","1","1","2","2","2","1","1","1","2"
"3387","3","1","1","1","3","1","2","2","1","1","1","2"
"3388","3","1","1","1","3","1","2","2","1","1","1","2"
"3389","3","1","1","1","3","1","2","2","1","1","1","2"
"3390","3","1","1","1","2","1","2","1","1","1","1","2"
"3391","3","1","1","1","3","1","2","1","1","1","1","2"
"3392","3","1","1","1","2","1","2","1","1","1","1","2"
"3393","3","1","1","1","3","1","2","1","1","1","1","2"
"3394","3","1","1","1","3","1","1","1","1","1","1","2"
"3395","3","1","2","1","2","1","1","1","2","2","2","2"
"3396","3","1","1","2","3","2","2","2","1","1","2","2"
"3397","3","1","1","1","2","2","1","1","1","1","1","2"
"3398","3","1","1","1","2","2","2","2","1","1","1","2"
"3399","3","1","1","1","3","2","2","2","1","1","1","2"
"3400","1","1","1","1","2","1","1","1","1","1","1","2"
"3401","3","1","1","1","1","1","1","1","1","1","1","2"
"3402","3","1","2","1","2","1","2","1","1","1","1","2"
"3403","3","1","1","1","3","2","2","2","2","1","1","2"
"3404","3","1","1","1","2","2","2","2","1","1","1","2"
"3405","3","1","2","1","3","2","2","2","2","2","2","2"
"3406","3","1","1","1","2","1","2","1","1","1","1","2"
"3407","3","1","1","1","3","1","2","2","1","1","1","2"
"3408","3","1","1","1","3","1","1","1","2","1","1","2"
"3409","3","1","1","1","2","1","1","1","1","1","1","2"
"3410","3","1","1","1","1","1","1","1","2","2","2","2"
"3411","3","1","1","1","2","1","2","2","1","1","1","2"
"3412","3","1","1","1","2","1","2","1","1","1","1","2"
"3413","3","1","2","1","3","1","2","2","1","1","1","2"
"3414","3","1","1","1","2","1","1","1","2","2","2","2"
"3415","3","1","1","1","2","1","2","2","1","1","1","2"
"3416","2","1","1","1","3","1","2","2","1","1","1","2"
"3417","3","1","1","1","2","2","2","1","1","1","1","2"
"3418","3","1","1","1","2","1","1","1","1","1","1","2"
"3419","2","1","1","1","3","2","2","2","2","2","2","2"
"3420","3","1","1","1","3","1","2","2","1","1","1","2"
"3421","3","1","1","1","1","1","1","1","1","1","1","2"
"3422","3","1","1","1","3","1","2","2","1","1","1","2"
"3423","3","1","1","1","3","1","2","1","1","1","1","2"
"3424","3","1","1","1","2","1","2","2","1","2","1","2"
"3425","3","1","1","1","2","2","2","2","1","1","1","2"
"3426","3","1","1","1","1","1","2","2","1","1","1","2"
"3427","3","1","1","1","2","1","2","2","1","1","1","2"
"3428","3","1","2","1","2","1","1","1","1","2","1","2"
"3429","3","1","1","1","2","2","2","2","1","1","1","2"
"3430","3","1","1","1","3","1","2","2","1","1","1","2"
"3431","2","1","1","1","2","2","2","2","1","2","1","2"
"3432","1","1","1","1","3","1","1","1","1","2","1","2"
"3433","1","1","1","1","2","2","2","2","1","1","1","2"
"3434","3","1","1","1","3","1","1","1","2","2","1","2"
"3435","3","1","1","1","2","1","2","2","1","1","1","2"
"3436","3","1","1","1","3","1","1","2","1","1","1","2"
"3437","2","1","1","1","3","1","1","1","1","1","1","2"
"3438","3","1","1","1","1","2","2","2","1","1","1","2"
"3439","3","1","1","1","2","1","1","1","1","1","2","2"
"3440","3","1","1","1","2","2","2","3","1","1","1","2"
"3441","3","1","1","1","2","1","1","1","1","1","2","2"
"3442","3","1","1","1","2","2","2","2","1","2","1","2"
"3443","3","1","1","1","3","1","1","1","1","1","1","2"
"3444","3","1","1","1","2","2","2","2","1","1","1","2"
"3445","3","1","1","1","2","1","1","1","1","1","1","2"
"3446","3","1","2","1","1","1","2","2","1","1","1","2"
"3447","2","1","1","1","1","1","1","1","1","1","1","2"
"3448","3","1","2","1","2","2","2","3","1","1","1","2"
"3449","3","1","1","1","1","1","2","1","1","1","1","2"
"3450","3","1","1","1","2","2","2","2","1","1","1","2"
"3451","3","1","1","1","1","2","2","2","1","1","1","2"
"3452","1","1","1","1","2","2","1","1","1","1","1","2"
"3453","3","1","1","1","1","1","1","1","1","1","1","2"
"3454","3","1","1","1","1","1","1","1","1","1","1","2"
"3455","1","1","1","1","3","1","2","2","1","1","1","2"
"3456","3","1","1","1","2","2","2","2","1","1","1","2"
"3457","3","1","1","1","1","1","1","1","1","1","1","2"
"3458","3","1","1","1","2","1","2","1","1","1","1","2"
"3459","3","1","1","1","3","1","1","1","1","1","1","2"
"3460","3","1","1","1","1","1","2","2","2","1","1","2"
"3461","1","1","1","1","3","1","2","1","2","1","2","2"
"3462","3","1","1","1","2","1","2","2","1","1","1","2"
"3463","3","1","1","1","1","1","2","2","1","1","1","2"
"3464","1","1","2","1","1","2","2","2","2","1","1","2"
"3465","3","1","1","1","3","2","2","2","1","1","1","2"
"3466","3","1","1","1","2","1","2","1","1","1","1","2"
"3467","3","1","1","1","3","1","2","1","1","1","1","2"
"3468","3","1","1","1","2","1","1","1","1","1","1","2"
"3469","3","1","1","1","2","1","1","1","1","1","1","2"
"3470","2","1","1","1","2","1","2","1","1","1","1","2"
"3471","3","1","1","1","2","1","2","1","2","2","1","2"
"3472","2","1","1","1","2","1","1","2","1","1","1","2"
"3473","3","1","2","1","2","1","2","1","1","1","1","2"
"3474","2","1","2","1","1","1","2","1","1","1","1","2"
"3475","3","1","1","1","2","1","2","2","2","2","2","2"
"3476","3","1","1","1","3","1","2","1","1","1","1","2"
"3477","2","1","1","1","3","1","1","1","1","1","1","2"
"3478","3","1","1","1","1","1","2","1","1","1","1","2"
"3479","3","1","1","1","2","1","2","2","1","1","1","2"
